name,num_backers,funding_target,total_raised
Blood of Dragons: Prelude by Tyler Walpole —,"""194""","$10,000",15915.0
Words In Sight by Gillian Hyland —,"""59""","$16,582",6444.0
BETA: Nuevo Disco by BETA —,"""131""","$10,997",201720.0
The 3rd Hawaii Sketch Comedy Festival by The Hawaii Sketch Comedy Festival —,"""149""","$12,000",11300.0
The 3rd Hawaii Sketch Comedy Festival by The Hawaii Sketch Comedy Festival —,"""149""","$12,000",11300.0
Words In Sight by Gillian Hyland —,"""59""","$16,582",6444.0
BETA: Nuevo Disco by BETA —,"""131""","$10,997",201720.0
BETA: Nuevo Disco by BETA —,"""131""","$10,997",201720.0
Words In Sight by Gillian Hyland —,"""59""","$16,582",6444.0
Blood of Dragons: Prelude by Tyler Walpole —,"""194""","$10,000",15915.0
Blood of Dragons: Prelude by Tyler Walpole —,"""194""","$10,000",15915.0
"THE 7th CONTINENT – What Goes Up, Must Come Down. by Serious Poulp —","""23093""","$40,000",2541346.5
Simple Happy Kitchen: Illustrated Guide for Plant-Based Life by Miki Mottes —,"""1558""","$14,740",92209.0
BETA: Nuevo Disco by BETA —,"""131""","$10,997",201720.0
Blood of Dragons: Prelude by Tyler Walpole —,"""194""","$10,000",15915.0
Words In Sight by Gillian Hyland —,"""59""","$16,582",6444.0
Words In Sight by Gillian Hyland —,"""59""","$16,582",6444.0
Simple Happy Kitchen: Illustrated Guide for Plant-Based Life by Miki Mottes —,"""1558""","$14,740",92209.0
Simple Happy Kitchen: Illustrated Guide for Plant-Based Life by Miki Mottes —,"""1558""","$14,740",92209.0
"THE 7th CONTINENT – What Goes Up, Must Come Down. by Serious Poulp —","""23093""","$40,000",2541346.5
"THE 7th CONTINENT – What Goes Up, Must Come Down. by Serious Poulp —","""23093""","$40,000",2541346.5
Simple Happy Kitchen: Illustrated Guide for Plant-Based Life by Miki Mottes —,"""1558""","$14,740",92209.0
Simple Happy Kitchen: Illustrated Guide for Plant-Based Life by Miki Mottes —,"""1558""","$14,740",92209.0
"THE 7th CONTINENT – What Goes Up, Must Come Down. by Serious Poulp —","""23093""","$40,000",2541346.5
Blood of Dragons: Prelude by Tyler Walpole —,"""194""","$10,000",15915.0
BETA: Nuevo Disco by BETA —,"""131""","$10,997",201720.0
Xul / Cortometraje by Uxbal Ramírez —,"""26""","$2,749",43200.0
PAKA - The Alpaca Wool Sweater by PAKA —,"""1504""","$20,000",200716.0
"THE 7th CONTINENT – What Goes Up, Must Come Down. by Serious Poulp —","""23093""","$40,000",2541346.5
"Corridor Journal | Bridgeport Connecticut by James &amp; Tyler Silvestro, The Editors —","""114""","$15,000",15890.0
Xul / Cortometraje by Uxbal Ramírez —,"""26""","$2,749",43200.0
Burden of Joy Costume and Set by Maureen —,"""21""","$3,100",1233.0
Xul / Cortometraje by Uxbal Ramírez —,"""26""","$2,749",43200.0
Burden of Joy Costume and Set by Maureen —,"""21""","$3,100",1233.0
Xul / Cortometraje by Uxbal Ramírez —,"""26""","$2,749",43200.0
Xul / Cortometraje by Uxbal Ramírez —,"""26""","$2,749",43200.0
Burden of Joy Costume and Set by Maureen —,"""21""","$3,100",1233.0
"Corridor Journal | Bridgeport Connecticut by James &amp; Tyler Silvestro, The Editors —","""114""","$15,000",15890.0
"Corridor Journal | Bridgeport Connecticut by James &amp; Tyler Silvestro, The Editors —","""114""","$15,000",15890.0
Burden of Joy Costume and Set by Maureen —,"""21""","$3,100",1233.0
Burden of Joy Costume and Set by Maureen —,"""21""","$3,100",1233.0
"Corridor Journal | Bridgeport Connecticut by James &amp; Tyler Silvestro, The Editors —","""114""","$15,000",15890.0
"Corridor Journal | Bridgeport Connecticut by James &amp; Tyler Silvestro, The Editors —","""114""","$15,000",15890.0
num_backers,total_raised,name,funding_target
"""17""",344.0,Toaster Dude - Book 1 by soaporsalad —,$500
"""85""",8272.0,We're All Going To Die - The Festival by Stefan Hunt —,"$23,482"
"""759""",72411.0,SPLATWARE | One of a kind tableware by Granby Workshop —,"$52,966"
"""613""",42270.0,The Flying Martha Ornithopter by Emily Fischer —,"$30,000"
"""1477""",125407.0,Lovebox | A simple and generous way to send love messages by Lovebox —,"$58,775"
"""17""",344.0,Toaster Dude - Book 1 by soaporsalad —,$500
"""17""",344.0,Toaster Dude - Book 1 by soaporsalad —,$500
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""601""",50680.0,Dead Moon: The Book by Mississippi Records —,"$50,000"
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""407""",35273.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""407""",35273.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""407""",35273.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""407""",35273.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""407""",35273.0,Rare Craft Matcha Green Tea from Japan by Material Matcha Uji —,"$9,404"
"""67""",6920.0,Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,"$21,186"
"""67""",6920.0,Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,"$21,186"
"""67""",6920.0,Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,"$21,186"
"""67""",6920.0,Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,"$21,186"
"""67""",6920.0,Ralph Styles Ultra – a surreal short film by Nic fforde &amp; Giulia Watson —,"$21,186"
"""1573""",211469.0,PAKA - The Alpaca Wool Sweater by PAKA —,"$20,000"
"""1573""",211469.0,PAKA - The Alpaca Wool Sweater by PAKA —,"$20,000"
"""1573""",211469.0,PAKA - The Alpaca Wool Sweater by PAKA —,"$20,000"
"""1573""",211469.0,PAKA - The Alpaca Wool Sweater by PAKA —,"$20,000"
"""1573""",211469.0,PAKA - The Alpaca Wool Sweater by PAKA —,"$20,000"
"""63""",9113.0,Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"$2,500"
"""63""",9113.0,Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"$2,500"
"""63""",9113.0,Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"$2,500"
"""63""",9113.0,Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"$2,500"
"""63""",9113.0,Gator Mold - Combo Pen Blank Casting System by Tom Barron —,"$2,500"
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""34""",2100.0,Local Government Diversity Dashboard by Kirsten Wyatt —,"$25,000"
"""601""",50680.0,Dead Moon: The Book by Mississippi Records —,"$50,000"
"""601""",50680.0,Dead Moon: The Book by Mississippi Records —,"$50,000"
"""601""",50680.0,Dead Moon: The Book by Mississippi Records —,"$50,000"
"""601""",50680.0,Dead Moon: The Book by Mississippi Records —,"$50,000"
"""53""",880.0,Neorj by Igor Berlinskiy —,"$17,632"
"""122""",6895.0,The Final Frontier - A Broadside Portfolio by Thornwillow —,"$2,000"
"""53""",880.0,Neorj by Igor Berlinskiy —,"$17,632"
"""53""",880.0,Neorj by Igor Berlinskiy —,"$17,632"
"""53""",880.0,Neorj by Igor Berlinskiy —,"$17,632"
"""53""",880.0,Neorj by Igor Berlinskiy —,"$17,632"
"""122""",6895.0,The Final Frontier - A Broadside Portfolio by Thornwillow —,"$2,000"
"""122""",6895.0,The Final Frontier - A Broadside Portfolio by Thornwillow —,"$2,000"
"""60""",3658.0,Almodovar Dystopia of Antonio Ramos &amp; the GangBangers by Antonio Ramos —,"$18,000"
"""122""",6895.0,The Final Frontier - A Broadside Portfolio by Thornwillow —,"$2,000"
